,Data,Hospitalizowane,województwo
572,2020-03-30,31,łódzkie
573,2020-03-31,35,łódzkie
574,2020-04-01,36,łódzkie
575,2020-04-02,32,łódzkie
576,2020-04-03,33,łódzkie
577,2020-04-04,37,łódzkie
578,2020-04-05,41,łódzkie
579,2020-04-06,43,łódzkie
580,2020-04-07,34,łódzkie
581,2020-04-08,35,łódzkie
582,2020-04-09,37,łódzkie
583,2020-04-10,40,łódzkie
584,2020-04-11,27,łódzkie
585,2020-04-12,28,łódzkie
586,2020-04-13,30,łódzkie
587,2020-04-14,26,łódzkie
588,2020-04-15,23,łódzkie
589,2020-04-16,35,łódzkie
590,2020-04-17,20,łódzkie
591,2020-04-18,61,łódzkie
592,2020-04-19,60,łódzkie
593,2020-04-20,40,łódzkie
594,2020-04-21,34,łódzkie
595,2020-04-22,33,łódzkie
596,2020-04-23,45,łódzkie
597,2020-04-24,37,łódzkie
598,2020-04-25,28,łódzkie
599,2020-04-26,27,łódzkie
600,2020-04-27,22,łódzkie
601,2020-04-28,17,łódzkie
602,2020-04-29,21,łódzkie
603,2020-04-30,18,łódzkie
604,2020-05-01,27,łódzkie
605,2020-05-02,24,łódzkie
606,2020-05-03,26,łódzkie
607,2020-05-04,19,łódzkie
608,2020-05-05,10,łódzkie
609,2020-05-06,20,łódzkie
610,2020-05-07,18,łódzkie
611,2020-05-08,18,łódzkie
612,2020-05-09,41,łódzkie
613,2020-05-10,47,łódzkie
614,2020-05-11,47,łódzkie
615,2020-05-12,23,łódzkie
616,2020-05-13,25,łódzkie
617,2020-05-14,31,łódzkie
618,2020-05-15,30,łódzkie
619,2020-05-16,36,łódzkie
620,2020-05-17,41,łódzkie
621,2020-05-18,32,łódzkie
622,2020-05-19,23,łódzkie
623,2020-05-20,14,łódzkie
624,2020-05-21,14,łódzkie
625,2020-05-22,25,łódzkie
626,2020-05-23,37,łódzkie
627,2020-05-24,48,łódzkie
628,2020-05-25,26,łódzkie
629,2020-05-26,23,łódzkie
630,2020-05-27,29,łódzkie
631,2020-05-28,38,łódzkie
632,2020-05-29,25,łódzkie
633,2020-05-30,35,łódzkie
634,2020-05-31,42,łódzkie
635,2020-06-01,26,łódzkie
636,2020-06-02,27,łódzkie
637,2020-06-03,18,łódzkie
638,2020-06-04,25,łódzkie
639,2020-06-05,29,łódzkie
640,2020-06-06,37,łódzkie
641,2020-06-07,33,łódzkie
642,2020-06-08,41,łódzkie
643,2020-06-09,29,łódzkie
644,2020-06-10,28,łódzkie
645,2020-06-11,31,łódzkie
646,2020-06-12,26,łódzkie
647,2020-06-13,37,łódzkie
648,2020-06-14,35,łódzkie
649,2020-06-15,40,łódzkie
650,2020-06-16,28,łódzkie
651,2020-06-17,38,łódzkie
652,2020-06-18,35,łódzkie
653,2020-06-19,34,łódzkie
654,2020-06-20,50,łódzkie
655,2020-06-21,63,łódzkie
656,2020-06-22,42,łódzkie
657,2020-06-23,34,łódzkie
658,2020-06-24,51,łódzkie
659,2020-06-25,45,łódzkie
660,2020-06-26,37,łódzkie
661,2020-06-27,56,łódzkie
